Attributes,HeLa.S3.WT.00_h.R1,HeLa.S3.WT.00_h.R2,HeLa.S3.WT.00_h.R3,HeLa.S3.WT.02_h.R1,HeLa.S3.WT.02_h.R2,HeLa.S3.WT.02_h.R3,HeLa.S3.WT.04_h.R1,HeLa.S3.WT.04_h.R2,HeLa.S3.WT.04_h.R3,HeLa.S3.WT.08_h.R1,HeLa.S3.WT.08_h.R2,HeLa.S3.WT.08_h.R3,HeLa.S3.WT.16_h.R1,HeLa.S3.WT.16_h.R2,HeLa.S3.WT.16_h.R3,HeLa.S3.WT.24_h.R1,HeLa.S3.WT.24_h.R2,HeLa.S3.WT.24_h.R3
E1W9S9,12,15.5,7.5,9.5,10.5,3,12.5,33,8.5,12.5,38.5,41.5,37.5,39,33.5,56.5,73,101
E1W9T0,4.5,2,3,5.5,2.5,0,5,15.5,7,12.5,29.5,10,22.5,28.5,30.5,59,73.5,94.5
E1W9T1,6,8.5,9,10,9.5,11,20.5,28,12.5,38.5,44.5,30.5,66.5,93.5,79.5,228.5,210,246
E1W9T2,3.5,6,5,5,12,7.5,12,36.5,13.5,30,60,26.5,65.5,78,42.5,70,92.5,120
E1W9T3,2,3,5,1.5,6,0,6,15,12.5,19.5,31.5,24.5,35,60,30,42.5,58,71.5
E1W9T4,0.5,2.5,4.5,2.5,10,2.5,7,16.5,6,13,25,16,34.5,42.5,29,42.5,51.5,44
E1W9T5,2,2,1,3.5,6.5,4,7,8,6,12.5,30.5,15,36,32,23,39.5,51,47.5
E1W9T6,135,130,276,14,16,11.5,22.5,37,36,106.5,298.5,74.5,369.5,449,357,1715,2034.5,2305.5
E1W9T7,87,105.5,110,40,48,20.5,35.5,69,28,23.5,55.5,47.5,68,76.5,81.5,240.5,262.5,338.5
E1W9T8,20.5,26.5,12.5,2,2.5,0.5,1.5,6.5,2.5,3,5,4,10,15.5,17.5,68,68,88.5
E1W9T9,16.5,17,17,1,0.5,0,1.5,0.5,1.5,0.5,0.5,1,1.5,5.5,5.5,35,35.5,55
E1W9U0,8.5,8.5,5.5,1,0.5,0,1.5,3,0,0.5,1,2,1.5,2.5,2,19.5,19.5,21
E1W9U1,4.5,3,3,0,0,0,0.5,0,0,0,6,0.5,5.5,2.5,0.5,13.5,13,10
E1W9U2,3.5,2,3,0.5,0,0,0.5,1,0,0.5,0,0,1.5,2,1.5,4.5,2,9.5
E1W9U3,2.5,5.5,4,0,2.5,0,0.5,4.5,0,0,1,0,3.5,3.5,4.5,11.5,14,13.5
E1W9U4,43,53.5,48.5,4,4.5,4,11.5,20.5,8.5,8.5,13.5,11.5,25,28.5,29.5,69,81.5,93.5
E1W9U5,0,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,1.5,1,0,4.5,7.5,10.5
E1W9U6,0.5,0,1,0,0,1,0,0,1,0,0,0,0.5,0.5,2.5,10.5,9,16
E1W9U7,0,1.5,1,0,0,2,0.5,0,0,0,1,0.5,1.5,2.5,2,9.5,12,16.5
E1W9U8,3,7,6,0.5,0.5,0,1,8.5,2,1.5,3,3,5,6.5,7,29,31,38.5
E1W9U9,5,3,3,0,1.5,0,1.5,0.5,0.5,0,2.5,3.5,3,8.5,9,14.5,20,18
E1W9V0,1.5,2,0,0,0,0,1.5,0.5,0,1.5,1.5,1.5,4,3.5,3,9,5,12
E1W9V1,9,19.5,12,11,7.5,7,11,17,19,30.5,62,69,85.5,124.5,163,259.5,265,300.5
E1W9V2,13,22,25.5,1.5,2.5,1,5,4.5,2,7,21.5,11.5,11.5,17.5,21,57.5,65,81
E1W9V3,18,17,13,3,2,0,3,8,1,2.5,4,8.5,6.5,14,10,38,34,46.5
E1W9V4,21.5,18.5,32.5,0,4,0.5,12,13.5,4.5,6.5,10,9.5,13,19,16.5,57.5,55.5,68.5
E1W9V5,19.5,30,21,2.5,4.5,3,6.5,13.5,2.5,4.5,11.5,9.5,9,14.5,12,32.5,32.5,45
E1W9V6,17,13.5,13,2.5,2,0.5,5,6.5,2,3,3.5,2.5,4,7,10,20,22.5,34
E1W9V7,30.5,51.5,47.5,4,2,0,2,2,1,1.5,5.5,3,19.5,16.5,19.5,92.5,95.5,141
E1W9V8,34.5,53,53,4,2.5,1.5,4,10.5,3,7,8,6,22,26,41,138,176.5,216
E1W9V9,14,11.5,25,0.5,1.5,0.5,2.5,4.5,1,2,9,8.5,10.5,15.5,13.5,42.5,45,58.5
E1W9W0,3,6,1.5,0,0,0,0.5,2,0,0,1,0.5,2,5,4.5,26.5,25,34.5
E1W9W1,2,2.5,4,1.5,0.5,2,1,2,1,2.5,1.5,1.5,4.5,6.5,7.5,19,13,26.5
E1W9W2,4.5,6,9,1.5,0,0,0,1,2.5,0,2,0.5,6,4.5,7,45.5,55,66.5
E1W9W3,7.5,15,17,2,2.5,2,4.5,9,3.5,3.5,6.5,5.5,18,13,30.5,135.5,161.5,178
E1W9W4,13.5,23.5,25,8,8,4,8,12.5,3,8,16.5,5.5,41.5,50.5,39,293,367.5,366.5
E1W9W5,13.5,17,21.5,3.5,2.5,0,3,7.5,3.5,4.5,11.5,6,30.5,31.5,38.5,208,268.5,281.5
E1W9W6,53.5,78.5,64.5,17,20.5,7.5,21.5,45,8.5,15,32,40.5,167.5,216.5,227.5,1315.5,1478,1381
E1W9W7,37.5,43.5,55.5,16,24.5,23.5,24.5,22.5,17.5,34.5,51,66.5,57,84.5,121.5,186.5,195,219
E1W9W8,9.5,7.5,10.5,0.5,0,0,0,0.5,0,1.5,0.5,3.5,3,2.5,3.5,16.5,20.5,30
E1W9W9,440,574,425.5,32,50,11,82.5,121.5,23,55.5,104,50,121.5,141,142,503,587.5,698.5
E1W9X0,10.5,22.5,17,3.5,6,0.5,2.5,2,0.5,1,5,2.5,17,19.5,20,79.5,92,114.5
E1W9X1,13,9.5,11.5,0.5,1.5,0,0,4.5,1,3.5,5,3,8.5,17.5,16,108.5,117,117.5
E1W9X2,7,16.5,10,6,1,1,3.5,3.5,0.5,3,5,3,14.5,15,20.5,153.5,172,203
E1W9X3,27.5,53.5,33,2,6.5,1.5,5.5,4.5,2,4,8,4.5,17.5,19,15,106.5,115.5,133.5
E1W9X4,81.5,93,99.5,5.5,9,3.5,23.5,27.5,9,25.5,39.5,27.5,95.5,99,105.5,638.5,691,744.5
E1W9X5,1.5,1.5,1.5,3,0,0,0.5,1,0,1,0,0,4,3.5,11.5,87.5,92.5,130.5
E1W9X6,0,1,1,0,0,0,0,1,0,0,0,0,1.5,2.5,2.5,27.5,36.5,46.5
E1W9X7,5,4,7.5,0,1,1,0.5,2,0,1,4,0,11,7,11,76,92,136
E1W9X8,22.5,33.5,25.5,1.5,2,0,5.5,4,1.5,2.5,3.5,2.5,19.5,17,27,163.5,180,201.5
E1W9X9,15,6,5,1.5,0,0.5,1.5,5.5,0.5,2.5,7,1.5,7,7.5,21.5,144.5,139,140.5
E1W9Y0,1,3,3.5,0,0,0,2,1.5,0.5,0.5,0.5,3,5,6,8,24,31,43.5
E1W9Y1,8.5,6.5,9.5,0,1,3,1,2,0.5,2,8,0.5,6,4.5,6,44,40.5,43
E1W9Y2,14.5,10.5,21,2,0.5,0,1.5,7.5,1.5,2,5.5,3,10,13,10,47,41.5,59.5
E1W9Y3,15.5,22.5,24.5,0,1.5,2,3.5,7.5,3,2.5,6,4,13,14,9.5,52.5,48,70.5
E1W9Y4,16,18.5,19.5,4,0,0,3.5,10,3,3,4.5,5.5,12,15.5,13.5,68.5,61,91
E1W9Y5,8.5,11.5,10,0,2.5,1,2.5,5,2,2.5,6,6,11,14,9,33,41.5,46.5
E1W9Y6,4,7.5,10.5,1.5,2,0,3.5,2,2,1.5,4.5,2.5,3,5,5,17,21,23.5
E1W9Y7,6,11.5,8,1,1.5,0.5,2.5,2.5,1,2,3.5,0.5,3,6,5.5,28,27,30.5
E1W9Y8,23,27,28,1,2.5,0,1,4,2.5,5.5,9,6.5,24,21,14,84,90,89
E1W9Y9,10.5,15.5,6.5,4.5,3.5,0,4.5,16.5,1,19.5,33,18,57.5,76.5,96,203.5,229,236
E1W9Z0,1,2,0.5,0.5,1,1,1.5,2,2.5,1,3.5,3.5,6,8.5,14.5,22,30,28.5
E1W9Z1,0.5,2,0.5,0.5,2,0.5,5.5,6,1.5,3,7.5,6,10,6.5,12,40,57,56.5
E1W9Z2,2,2,1.5,5,0.5,0,4,5.5,1,4.5,8,5,13.5,9,17.5,62.5,77.5,81.5
E1W9Z3,7,7.5,3,1,0.5,0,2.5,2,2.5,2.5,10.5,6.5,7.5,18,23.5,81.5,103,105
E1W9Z4,3.5,3,3.5,1.5,2,0,7.5,10,0.5,5,14,8,13,18,18.5,77,102.5,115
E1W9Z5,9,16,3.5,14.5,17,2.5,29.5,57.5,8,57.5,85.5,43.5,57.5,84.5,45,62,98,88
E1W9Z6,8.5,12.5,3.5,9.5,16,2.5,14.5,21,10.5,7,29,31.5,39.5,33.5,41,88,95.5,110.5
E1W9Z7,3.5,3.5,2.5,1,1.5,1.5,1,1,1,7,6.5,4,8.5,5.5,8.5,62.5,54.5,64
E1W9Z8,19.5,27,32.5,4.5,9,8.5,7,22.5,7,9.5,23,14,26.5,32,23,58,65,75.5
E1W9Z9,13,13,18.5,10.5,14,12.5,12,28.5,12,27.5,54,36.5,66.5,78,80.5,150.5,174.5,226
E1WA00,49.5,64.5,28.5,4,8.5,1,19.5,26,6,14.5,20,20,34.5,45,39,109,130,176.5
E1WA01,12.5,13,11,2,4.5,0.5,10.5,15.5,8,9,25,13,23.5,35,19.5,52,56.5,61.5
E1WA02,0,1,0,0,0,0,0.5,0,0,0,0.5,0.5,1.5,0,2,18.5,23,33.5
E1WA03,0,0.5,0,0,0,0,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,16.5,18.5,32.5
E1WA04,0.5,0,0,0,0.5,0,0,0,0.5,1.5,3,0,2,1.5,4,31,36,59.5
E1WA05,13.5,7,7,2,2,0,1,2,1,0.5,6.5,4,6,7,9.5,89.5,96,100
E1WA06,5,4.5,3.5,2,1,0,0,0,0.5,0,4,3,2.5,4,3,21,25.5,33.5
E1WA07,1.5,0,1.5,0,0,0,1,0.5,5.5,0,0,0,2,2,4,11,12,13.5
E1WA08,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,2,1,0,2,3.5,6
E1WA09,0.5,1.5,0.5,0.5,1,0,0.5,0,0.5,0,0.5,0,0.5,1,0.5,5.5,4.5,8
E1WA10,3,1,0,0,0,0,1,1,0,0,1,2,3,2.5,3,17.5,19,27
E1WA11,0.5,1,0,1.5,0.5,0,0,0,0.5,1.5,2,1,3,2,2.5,32,33,37.5
E1WA12,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,2.5,1,2,15,21,26
E1WA13,2.5,4,4,1,0,0,1,1,1.5,0.5,2.5,0,5,2.5,4.5,29.5,28,46.5
E1WA14,9,13,5,0.5,2.5,0.5,1,8,1.5,0.5,1,3.5,1,7.5,4,15,17,18.5
E1WA16,0.5,2,0.5,0.5,1,0,2,2.5,0.5,0,1,1.5,4.5,4.5,3.5,6.5,5,6.5
E1WA17,17.5,22.5,7.5,2,6.5,5,2.5,7.5,0.5,5,6,2,7.5,7.5,8,19,21.5,32
E1WA18,60,76.5,51.5,6.5,10.5,0,13,23.5,9,5,16.5,16,16,25,22.5,57.5,86.5,94
E1WA19,4.5,2.5,3,0.5,1,0,1.5,0,0,0,1,1.5,3.5,1.5,3.5,16,13,23
E1WA20,1.5,4.5,2.5,0.5,0.5,0,0.5,0,0.5,0,1,2.5,1.5,0.5,2,17.5,21,21
E1WA21,2,2,3.5,0,1.5,0,0,0.5,1,0,1,1,1,1,1.5,15,8.5,4
E1WA22,49.5,68,29,8.5,11,0.5,10.5,21,2,10,49.5,3.5,23,29,7,64,73.5,56
E1WA23,0.5,3,3,0,0,1,1,1.5,1,2.5,2.5,0.5,3,4,1,20.5,26,23.5
E1WA24,6.5,14,12.5,4,4,0.5,5.5,15,5.5,0.5,8,10.5,12.5,18.5,27.5,98.5,104,135.5
E1WA25,13,23,15.5,1.5,8,2.5,7,12.5,6,3,9,10,21.5,35,33.5,145.5,149.5,189.5
E1WA26,2.5,2,4,0,0,0,1.5,2,2,1,3,2,4.5,4,7.5,36,39.5,64.5
E1WA27,4.5,1.5,5,1,1.5,0,0.5,7,2,2,2.5,1.5,9.5,11,10,38,50.5,68.5
E1WA28,16.5,17,13.5,7,16,6,26,53,16,19.5,50,32,118.5,137.5,168,702.5,711,863.5
E1WA29,15.5,12.5,16.5,206.5,255,163,385.5,671,236,441.5,988.5,633.5,1227.5,1430.5,1546.5,2202,2470.5,2792.5
E1WA30,12,15,9,108.5,135.5,36.5,192,354.5,98.5,147.5,259,215.5,355.5,417.5,216.5,301,365,436.5
E1WA31,10.5,16.5,14.5,65.5,60,30,84,154,33.5,48.5,118.5,95,111,161,103,136,158,210.5
E1WA32,6.5,9.5,12.5,2,1,3,5.5,14,3,5,15,12,18,21.5,24.5,67,64.5,98.5
E1WA33,9,7.5,8,1.5,1.5,0,3.5,2,2.5,4,12.5,6,8,17.5,16.5,69,65.5,97
E1WA34,7.5,7.5,11.5,2.5,0.5,3,6.5,7.5,1,5.5,7,9,16,21,15,19,24,29
E1WA35,6.5,7,4,1.5,2,0,1,1,1,3.5,3,1,10,4.5,6,22.5,27,24
E1WA36,0.5,2.5,1,1,0,0.5,6,0,0,2,0.5,0.5,4,4,2,20,11,15
E1WA37,9,18,9,0,1.5,1.5,4,5,0,2.5,3.5,2,6,11.5,9,50,58.5,91.5
E1WA38,3,4,3,11.5,8.5,5.5,24.5,39.5,8,40.5,58,29.5,74,84,59.5,32,52.5,51
E1WA39,12,12.5,11.5,11.5,14,4,27.5,45,13,26,53,40,58,78,82.5,54.5,60,75.5
E1WA40,35.5,62,37.5,12,8.5,2,29.5,55.5,16,30,84.5,23,68,80.5,93,113,123,107
E1WA41,27.5,30.5,37.5,4,6.5,3.5,24,32.5,9,27.5,59,19.5,42,48.5,82.5,86,91,104
E1WA42,33,29.5,16.5,8,10.5,3,23,34.5,8.5,15,46.5,29,29.5,39,77,78,81.5,81
E1WA43,6.5,4.5,7.5,2.5,3.5,0,4.5,7,5,2,11.5,4.5,12,21,34.5,65,85,80
E1WA44,19.5,19,23.5,1,1.5,4.5,3,5.5,3.5,5,12.5,4.5,31,42.5,30,83,84.5,93.5
E1WA45,16.5,12,14,1.5,3,0,2.5,2,0.5,0.5,3,3.5,4.5,7.5,9.5,28,38,70.5
E1WA46,3.5,5,3,0,0,0,0.5,1,0.5,0,1.5,0,11,11,26.5,174,214,238.5
E1WA47,2.5,4,6.5,0,0,0,1,1,0.5,2.5,1,2,18,31,44.5,342,380.5,431.5
E1WA48,63.5,69.5,46,8.5,9.5,4.5,26,30,9.5,5.5,13.5,24,34.5,39.5,57.5,165.5,221,305
E1WA49,8.5,5,4,1,1.5,1,2,5.5,3,1.5,3.5,5,5.5,7,8,70.5,68.5,94.5
E1WA50,7.5,16,10,0,4,0.5,0,0,0,1,0,1.5,6.5,8,13,51,64,89.5
E1WA51,21.5,15,8.5,1.5,1,0,4.5,5.5,1,4,13.5,4.5,14,11.5,21,32.5,30.5,37
E1WA52,3,3.5,13.5,0.5,2,0,0,1.5,1,0,1.5,3,8.5,7.5,9,54,63,76
E1WA53,0,3,0.5,1,0,0,0,0,0,1.5,4.5,0,2.5,1,1.5,14.5,24,19.5
E1WA54,2,5.5,2.5,0.5,0.5,0,0,9,1,2,2.5,8.5,12.5,14.5,10.5,39,40,39
E1WA55,2.5,1,3,0,0,0,1.5,5,1.5,1,0.5,4.5,17.5,16.5,24,48.5,51.5,69
E1WA56,2,1,0.5,0.5,0,0,4,1.5,2.5,0,3.5,3,14,15,24.5,68,60.5,73.5
E1WA57,5.5,7,7.5,2,2,4,4,16,3,12.5,12,10,40.5,40,52,141.5,183.5,202.5
E1WA58,14,24,14,9,4,4,7.5,14.5,4,2,7,8.5,34.5,25.5,47,124.5,149,133
E1WA59,328,483.5,418.5,5.5,6.5,3.5,9.5,13,14,3,18.5,16.5,38,39,35.5,190.5,219.5,255
E1WA60,106.5,165,188.5,0,1,1,3,3.5,3,1.5,6,3,9,21,18.5,105.5,105.5,145
E1WA61,113,151,126.5,1.5,5.5,0.5,4.5,12,4.5,1,3,9,8.5,11,12.5,34.5,44,55
E1WA62,12,19,11.5,0.5,1,4,0,1.5,0.5,0,2.5,3,4.5,4.5,7,35.5,35,45.5
E1WA63,25,23.5,27,1.5,1,1.5,5,7,1.5,2.5,3,3.5,11,17,12,106,104.5,181.5
E1WA64,14,33.5,24.5,0.5,1.5,0.5,1,2,1,1,2.5,2,15.5,20.5,21,139.5,160.5,210
E1WA65,19,36,25,0,0.5,0.5,1.5,1.5,23,1,8,5,7.5,21.5,17,93.5,108.5,157
E1WA66,4.5,4,3.5,0,0,0,2,1,2.5,0.5,6,2.5,1.5,5,6,25.5,23,43.5
E1WA67,21.5,23.5,34.5,1,5,0,11.5,6,3.5,5.5,18.5,6.5,21,23.5,17,76,86,98.5
E1WA68,117,105.5,80,36.5,44.5,7,30.5,61.5,9,35.5,110,15,108.5,142.5,84.5,390,451,485.5
E1WA69,29,56.5,43.5,1.5,2,1.5,4,10,2,2.5,6,6,15.5,23.5,23,98,120,171
E1WA70,84,110.5,88.5,5,6.5,5,13,26.5,4,3,13.5,12.5,38,44.5,41.5,212.5,210,269.5
E1WA71,101,122.5,134.5,12.5,25.5,19,24,42.5,16.5,13,38,46,48,77,96.5,98,126,175.5
E1WA72,170.5,225,279.5,20.5,18.5,7.5,25.5,60,16.5,38.5,84.5,27.5,106.5,125.5,90.5,446,499.5,567.5
E1WA73,2.5,5,2,0,0,0,0,1.5,1.5,0.5,2.5,1.5,20,18,26.5,257,272,316
E1WA74,131,155.5,125.5,17,37,10.5,38.5,63,26.5,34.5,57,36.5,334.5,397,640.5,4824.5,5306.5,6736.5
E1WA75,20.5,24.5,23,2,6,3,6,10.5,4.5,0.5,2,7,11.5,16,11,39.5,34.5,56.5
E1WA76,15,17,19.5,0.5,0,0,3,5.5,2,2.5,3.5,3.5,8.5,12,16,47,70.5,76
E1WA77,0,1,1.5,0,1,0,1,0,0,0,0.5,0,0.5,0.5,1,5,6.5,9.5
E1WA78,1,4,1.5,1,0.5,0,2,0,0,0,1.5,0,5.5,2.5,1.5,17.5,16.5,18.5
E1WA79,2,2,1.5,0,0,0,0.5,1,0,0,1.5,0.5,1.5,2,0.5,7,9,2
E1WA80,8.5,12,8,1,1,1,0.5,2.5,1.5,2,5,1.5,9,6,5,20,22,30
E1WA81,1.5,3.5,3,0,1,0,0,2.5,0.5,0.5,4,2,2.5,3.5,2,8.5,11,10.5
E1WA82,3.5,6,7.5,0,4,1,4,2.5,1,4,11.5,4,9,11.5,11.5,36.5,51.5,51
E1WA83,4.5,8,4,0.5,0,0.5,1.5,4,2,3.5,9,2,10.5,10.5,11,61,51.5,68
E1WA84,5,8.5,5.5,1,0.5,0.5,1,1.5,0,2,2.5,2.5,15.5,12,19.5,121,113,171.5
E1WA85,2,2.5,2.5,0,1.5,0,0,1,0,0.5,3.5,1.5,7,2,3.5,18.5,26.5,22.5
E1WA86,0.5,6.5,1.5,0.5,1,0,0.5,0,0,0.5,0.5,2,3,5,2.5,13,21,23
E1WA87,5,8,5.5,1,2.5,0,4,1,0.5,1,5.5,1.5,10.5,10.5,13.5,52.5,67.5,93.5
E1WA88,0,0,0,0,0,0,0,2,0.5,0,0.5,1.5,0.5,1,0.5,12.5,20,14.5
E1WA89,0,4.5,1.5,0,1,0.5,0.5,1.5,2,1,1.5,1.5,1.5,6.5,5,19.5,17.5,25.5
E1WA90,0,1.5,2,1,0.5,0.5,2.5,2.5,0,3,1,1.5,0.5,2,4,13.5,10.5,9.5
E1WA91,0.5,1,3.5,0.5,0,0.5,1,1,0.5,2,2,0,3.5,3.5,4,12.5,15,13.5
E1WA92,0,4,0,0,0,0,0.5,1.5,0,1.5,1,0.5,3.5,3.5,1.5,12.5,9.5,15
E1WA93,2.5,1,2,0,0,0.5,1,0.5,0,2.5,1.5,2,2,0.5,2,9.5,9,9.5
E1WA94,4.5,3,1,0,2,0,2.5,3.5,3,4,2.5,2,11.5,3.5,6.5,48.5,40,42.5
E1WA95,0,1,1,0,0,0,0.5,0,0,0,0,0,0,1,1,5.5,10,9.5
E1WA96,1,1.5,3,0,1.5,0,0.5,0,0.5,1.5,1.5,1.5,0.5,2,7,28.5,25.5,36.5
E1WA97,1,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0.5,3,9,8,16.5
E1WA98,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,4.5,18,17,20
E1WA99,2,4.5,2,8.5,10.5,7,13.5,36.5,7,2,17.5,35,19.5,19,24.5,42.5,44.5,38.5
E1WAA0,3,5.5,4,3,4,3.5,8,12.5,11,22,32.5,17,28.5,39,21.5,66.5,54.5,60
E1WAA1,2,3,2,2.5,1.5,0,3.5,4.5,4.5,6,14,8.5,15.5,18,7.5,17.5,22.5,23.5
E1WAA2,5,3.5,8,5.5,7.5,1.5,5.5,18,8.5,16.5,31,14,35.5,46,17.5,51.5,82,122
E1WAA3,2,6,5,3.5,6,5,6.5,10,7,13,27.5,23.5,28.5,30,26,66,80,83
E1WAA4,8.5,12,10,2.5,6,2,8,8.5,4,7.5,13,11.5,15.5,23,19.5,56,55.5,101.5
E1WAA5,0,0,0.5,0,1,0,0.5,1,0,0,2,1,1.5,4,3,15.5,14.5,19
E1WAA6,49,74,56,23.5,30,12,43.5,61,26,33.5,56,41.5,130,168.5,209,503.5,509.5,600
E1WAA7,315,503.5,540.5,84.5,72.5,98,84,118,143.5,172.5,560,478.5,453,526,366.5,956,1081.5,1137.5
E1WAA8,9.5,17.5,19.5,4,10,5.5,22.5,35,20.5,17,23.5,20.5,75,103,89.5,194,204,226
E1WAA9,19,24.5,25,5,12,7.5,13.5,25,19.5,5.5,19.5,11.5,70.5,58,66,126.5,172.5,187.5
E1WAB0,84.5,115.5,107,29,41,17,23.5,51.5,13,16.5,36.5,23.5,54,68,51.5,176,169,225
E1WAB1,152.5,242.5,168,38,40.5,16.5,22,33,3.5,5.5,10.5,11.5,7,12,7,30,44.5,56.5
E1WAB2,151.5,178,178.5,37.5,45,7.5,24,24,11,5.5,13.5,5,16,24,7,31.5,34,51
E1WAB3,90.5,113,120.5,24.5,19,7,34,47.5,23,19,30,36,40.5,69,28,36,35.5,51.5
E1WAB4,115.5,141.5,191.5,32.5,39.5,7,51,65,34,39.5,83,56,79.5,116,42.5,72.5,55.5,68
E1WAB5,230.5,335.5,401,21.5,26,9.5,19.5,26.5,12,4,5,11,9.5,12,17,55.5,48.5,83
E1WAB6,421,650,651,43,71.5,9.5,33.5,54,12.5,1,9,21.5,12.5,16.5,18,80,87.5,120
E1WAB7,325,433.5,445.5,34,47.5,12,27.5,26.5,8,1.5,3.5,5.5,2.5,5.5,8.5,34.5,34,46
E1WAB8,229,309.5,328,20,29.5,3.5,16,16.5,6.5,0.5,1.5,7,1,6,3.5,14,17.5,22.5
E1WAB9,646,804.5,533.5,34,45,16.5,27.5,43,17.5,1,3.5,7.5,7,9.5,9.5,57,62.5,83.5
E1WAC0,324.5,396.5,302.5,45.5,61.5,19.5,47,58,27,18,35,22,40,46,44.5,178.5,203,251
E1WAC1,120,151.5,139,8.5,13,1.5,5,8,2.5,0,1,4.5,3,4.5,7.5,50.5,83.5,60.5
E1WAC2,33.5,41.5,53,2.5,4.5,0.5,0.5,3,1.5,0,0,0,5.5,5.5,9,45.5,48,51
E1WAC3,113.5,114,156,38.5,51,7.5,43.5,68,24,6,20,18,60.5,58.5,88.5,544.5,537.5,642
E1WAC4,22,29,31.5,17,21,6,13.5,28.5,17,7,3.5,8.5,23,21,29,189,203,249
E1WAC5,28,25.5,38.5,11,10.5,1,11.5,25,5.5,2,3.5,3,13,14.5,19.5,87,108,115
E1WAC6,71,72,103.5,19.5,34.5,5.5,28.5,42.5,12.5,1,4.5,9.5,11,13,18,99,97,138.5
E1WAC7,33.5,49.5,47.5,17.5,31.5,4,18.5,42,7,0.5,2.5,6,2.5,5.5,4.5,55,59.5,58.5
E1WAC8,179.5,258,300.5,80,101.5,34.5,92,137,35,4,5,16,7,9.5,12.5,82,96.5,99
E1WAC9,101.5,112,191.5,37.5,71.5,17.5,59,67,32,0,6,10.5,6,14.5,10,59.5,66.5,94
E1WAD0,63.5,67,76.5,32.5,34,17.5,38,45,19.5,1,1,7.5,6,6.5,4,36.5,35,36
E1WAD1,38.5,58.5,41,5,14,1,1.5,3.5,2.5,0,0,2.5,2,6.5,5,24,26.5,39
E1WAD2,26,55.5,38.5,1,2.5,0.5,4,3,1.5,0,1,2,0.5,0.5,3,11,14,19.5
E1WAD3,39,58,47.5,4.5,8.5,4,4,13.5,3,0,1.5,3,1,0.5,6,22.5,26,21.5
E1WAD4,40.5,61.5,57,8,9,3.5,1.5,5,2,0,2,0.5,4.5,5.5,5.5,23.5,33.5,24
E1WAD5,86,110,121,6,15.5,3,6,8,4.5,1,1,1,3.5,4,7,27.5,36,36.5
E1WAD6,99.5,113.5,124,11.5,11,1.5,7.5,11,2.5,0,2,0.5,7,4,2.5,38.5,46,41.5
E1WAD7,65.5,52.5,94,3,9.5,3,1,1.5,0.5,0,0,0,0.5,2.5,2.5,16.5,18,21.5
E1WAD8,110.5,130,165,16.5,19.5,2,5,7.5,6,0.5,1.5,3,7,7,9,71.5,60.5,72.5
E1WAD9,61,84.5,91,6.5,7.5,3,3,10,3,0.5,1,0.5,0.5,2,6.5,19,24,26
E1WAE0,210.5,288,255,19.5,25,4.5,11.5,14.5,6.5,1,1.5,3,7.5,7.5,9.5,58.5,54,69.5
E1WAE1,104.5,153.5,129,7.5,13,1,4.5,10,2.5,12.5,1,5,2.5,1.5,4.5,15.5,21,27
E1WAE2,209.5,230,298,18.5,16,5,8.5,12.5,4.5,0,1.5,1.5,3,4,5,28,26,42.5
E1WAE3,168.5,198.5,158.5,12,15,4.5,10,7,3.5,0,1,4,5,10,3.5,49.5,44,68
E1WAE4,133.5,133,125.5,23,25,9,12.5,18.5,9.5,0.5,2,4,4,8.5,3.5,24.5,30,47
E1WAE5,52,53.5,49.5,11,11,2,10.5,10,3.5,4,7,7,10.5,17.5,12,63.5,66,85.5
E1WAE6,17.5,23,11.5,5.5,4,0,7,7.5,0.5,1.5,5,2.5,2.5,5,4,19.5,23.5,22.5
E1WAE7,1.5,1,1.5,1,3,0.5,5,3.5,1.5,1,5,5,4.5,6,7,29,42.5,38
E1WAE8,1,1,0,0,0,0,0.5,0,0,0,0,0.5,0.5,1,1,3.5,5.5,6
E1WAE9,13,10.5,6.5,3,4.5,2.5,14.5,19.5,3,1,9,7.5,42,63.5,78,488.5,615.5,606.5
E1WAF0,3.5,5,9,2.5,2,1,8,4,0.5,2,8,7,60,66.5,101.5,667,739,781
E1WAF1,3,8,6,1.5,1,0,1.5,3,0,0,2,1.5,7.5,9,33,213,259.5,282
E1WAF2,6.5,6.5,6,0,2.5,0,0.5,1.5,0.5,0.5,0.5,3,6.5,2.5,5.5,39,41,54
E1WAF3,20.5,26.5,24.5,4,4.5,1,4.5,9,6.5,7.5,15,5.5,28.5,23.5,28,112,127.5,153.5
E1WAF4,0.5,2,2,0,0,0,0,0,0,0.5,1,0.5,0.5,1,2,5,6,11.5
E1WAF5,0.5,3,4.5,0,0,0,0,0,0,0.5,1,0.5,2,5.5,3,29,33,42.5
E1WAF6,1,0,2.5,0,0,0,0.5,0,0,0.5,0,0.5,2.5,2.5,1.5,22,17,22.5
E1WAF7,5.5,5.5,5.5,2.5,2,0,1,1,1,0.5,4.5,1.5,5,6,9,41,30.5,36
