Gene.Ontology.ID,Function
GO:0017057,  6-phosphogluconolactonase activity  [isa: 0052689  0016787  0003824  0003674 ]
GO:0030599,  pectinesterase activity  [isa: 0052689  0016787  0003824  0003674 ]
GO:0035460,  L-ascorbate 6-phosphate lactonase activity  [isa: 0052689  0016787  0003824  0003674 ]
GO:0043908,  Ser [isa: 0052689  0016787  0003824  0003674 ]
GO:0051723,  protein methylesterase activity  [isa: 0052689  0016787  0003824  0003674 ]
GO:0008984,  protein-glutamate methylesterase activity  [isa: 0051723  0052689  0016787  0003824  0003674 ]
GO:0003796,  lysozyme activity  [isa: 0016787  0003824  0003674 ]
GO:0004348,  glucosylceramidase activity  [isa: 0016787  0003824  0003674 ]
GO:0004568,  chitinase activity  [isa: 0016787  0003824  0003674 ]
GO:0015923,  mannosidase activity  [isa: 0016787  0003824  0003674 ]
GO:0015926,  glucosidase activity  [isa: 0016787  0003824  0003674 ]
GO:0015927,  trehalase activity  [isa: 0016787  0003824  0003674 ]
GO:0015929,  hexosaminidase activity  [isa: 0016787  0003824  0003674 ]
GO:0016160,  amylase activity  [isa: 0016787  0003824  0003674 ]
GO:0033942,  4-alpha-D- [isa: 0016787  0003824  0003674 ]
GO:0102148,  N-acetyl-beta-D-galactosaminidase activity  [isa: 0016787  0003824  0003674 ]
GO:0008477,  purine nucleosidase activity  [isa: 0016787  0003824  0003674 ]
GO:0008714,  AMP nucleosidase activity  [isa: 0016787  0003824  0003674 ]
GO:0008782,  adenosylhomocysteine nucleosidase activity  [isa: 0016787  0003824  0003674 ]
GO:0019104,  DNA N-glycosylase activity  [isa: 0016787  0003824  0003674 ]
GO:0000700,  mismatch base pair DNA N-glycosylase activity  [isa: 0019104  0016787  0003824  0003674 ]
GO:0008263,  pyrimidine-specific mismatch base pair DNA N-glycosylase activity  [isa: 0000700  0019104  0016787  0003824  0003674 ]
GO:0000702,  oxidized base lesion DNA N-glycosylase activity  [isa: 0019104  0016787  0003824  0003674 ]
GO:0000703,  oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity  [isa: 0000702  0019104  0016787  0003824  0003674 ]
GO:0008534,  oxidized purine nucleobase lesion DNA N-glycosylase activity  [isa: 0000702  0019104  0016787  0003824  0003674 ]
GO:0003905,  alkylbase DNA N-glycosylase activity  [isa: 0019104  0016787  0003824  0003674 ]
GO:0043733,  DNA-3-methylbase glycosylase activity  [isa: 0003905  0019104  0016787  0003824  0003674 ]
GO:0008725,  DNA-3-methyladenine glycosylase activity  [isa: 0043733  0003905  0019104  0016787  0003824  0003674 ]
GO:0097506,  deaminated base DNA N-glycosylase activity  [isa: 0019104  0016787  0003824  0003674 ]
GO:0004844,  uracil DNA N-glycosylase activity  [isa: 0097506  0019104  0016787  0003824  0003674 ]
GO:0050263,  ribosylpyrimidine nucleosidase activity  [isa: 0016787  0003824  0003674 ]
GO:0016803,  ether hydrolase activity  [isa: 0016787  0003824  0003674 ]
GO:0004463,  leukotriene-A4 hydrolase activity  [isa: 0016803  0016787  0003824  0003674 ]
GO:0004040,  amidase activity  [isa: 0016787  0003824  0003674 ]
GO:0004067,  asparaginase activity  [isa: 0016787  0003824  0003674 ]
GO:0004359,  glutaminase activity  [isa: 0016787  0003824  0003674 ]
GO:0008448,  N-acetylglucosamine-6-phosphate deacetylase activity  [isa: 0016787  0003824  0003674 ]
GO:0008745,  N-acetylmuramoyl-L-alanine amidase activity  [isa: 0016787  0003824  0003674 ]
GO:0008759,  UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity  [isa: 0016787  0003824  0003674 ]
GO:0008777,  acetylornithine deacetylase activity  [isa: 0016787  0003824  0003674 ]
GO:0008864,  formyltetrahydrofolate deformylase activity  [isa: 0016787  0003824  0003674 ]
GO:0009014,  succinyl-diaminopimelate desuccinylase activity  [isa: 0016787  0003824  0003674 ]
GO:0009017,  succinylglutamate desuccinylase activity  [isa: 0016787  0003824  0003674 ]
GO:0036054,  protein-malonyllysine demalonylase activity  [isa: 0016787  0003824  0003674 ]
GO:0036055,  protein-succinyllysine desuccinylase activity  [isa: 0016787  0003824  0003674 ]
GO:0036311,  chitin disaccharide deacetylase activity  [isa: 0016787  0003824  0003674 ]
GO:0042586,  peptide deformylase activity  [isa: 0016787  0003824  0003674 ]
GO:0050568,  protein-glutamine glutaminase activity  [isa: 0016787  0003824  0003674 ]
GO:0103117,  UDP-3-O-acyl-N-acetylglucosamine deacetylase activity  [isa: 0016787  0003824  0003674 ]
GO:0004038,  allantoinase activity  [isa: 0016787  0003824  0003674 ]
GO:0004151,  dihydroorotase activity  [isa: 0016787  0003824  0003674 ]
GO:0017168,  5-oxoprolinase  [isa: 0016787  0003824  0003674 ]
GO:0033971,  hydroxyisourate hydrolase activity  [isa: 0016787  0003824  0003674 ]
GO:0050480,  imidazolonepropionase activity  [isa: 0016787  0003824  0003674 ]
GO:0004848,  ureidoglycolate hydrolase activity  [isa: 0016787  0003824  0003674 ]
GO:0008783,  agmatinase activity  [isa: 0016787  0003824  0003674 ]
GO:0009015,  N-succinylarginine dihydrolase activity  [isa: 0016787  0003824  0003674 ]
GO:0016990,  arginine deiminase activity  [isa: 0016787  0003824  0003674 ]
GO:0047652,  allantoate deiminase activity  [isa: 0016787  0003824  0003674 ]
GO:0050415,  formimidoylglutamase activity  [isa: 0016787  0003824  0003674 ]
GO:0004000,  adenosine deaminase activity  [isa: 0016787  0003824  0003674 ]
GO:0008251,  tRNA-specific adenosine deaminase activity  [isa: 0004000  0016787  0003824  0003674 ]
GO:0004126,  cytidine deaminase activity  [isa: 0016787  0003824  0003674 ]
GO:0008829,  dCTP deaminase activity  [isa: 0016787  0003824  0003674 ]
GO:0008835,  diaminohydroxyphosphoribosylaminopyrimidine deaminase activity  [isa: 0016787  0003824  0003674 ]
GO:0019238,  cyclohydrolase activity  [isa: 0016787  0003824  0003674 ]
GO:0003998,  acylphosphatase activity  [isa: 0016787  0003824  0003674 ]
GO:0016462,  pyrophosphatase activity  [isa: 0016787  0003824  0003674 ]
GO:0017171,  serine hydrolase activity  [isa: 0016787  0003824  0003674 ]
GO:0008236,  serine-type peptidase activity  [isa: 0017171  0016787  0003824  0003674 ]
GO:0019213,  deacetylase activity  [isa: 0016787  0003824  0003674 ]
GO:0033558,  protein deacetylase activity  [isa: 0019213  0016787  0003824  0003674 ]
GO:0034979,  NAD-dependent protein deacetylase activity  [isa: 0033558  0019213  0016787  0003824  0003674 ]
GO:0019239,  deaminase activity  [isa: 0016787  0003824  0003674 ]
GO:0052717,  tRNA-specific adenosine-34 deaminase activity  [isa: 0008251  0004000  0019239  0016787  0003824  0003674 ]
GO:0004342,  glucosamine-6-phosphate deaminase activity  [isa: 0019239  0016787  0003824  0003674 ]
GO:0016829,  lyase activity  [isa: 0003824  0003674 ]
GO:0004325,  ferrochelatase activity  [isa: 0016829  0003824  0003674 ]
GO:0051266,  sirohydrochlorin ferrochelatase activity  [isa: 0004325  0016829  0003824  0003674 ]
GO:0016830,  carbon-carbon lyase activity  [isa: 0016829  0003824  0003674 ]
GO:0016831,  carboxy-lyase activity  [isa: 0016830  0016829  0003824  0003674 ]
GO:0004014,  adenosylmethionine decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0004068,  aspartate 1-decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0004425,  indole-3-glycerol-phosphate synthase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0004586,  ornithine decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0004590,  orotidine-5'-phosphate decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0004609,  phosphatidylserine decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0004611,  phosphoenolpyruvate carboxykinase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0004638,  phosphoribosylaminoimidazole carboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0004853,  uroporphyrinogen decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0008694,  3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0008836,  diaminopimelate decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0008948,  oxaloacetate decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0009028,  tartronate-semialdehyde synthase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0033982,  3-dehydro-L-gulonate-6-phosphate decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0048472,  threonine-phosphate decarboxylase activity  [isa: 0016831  0016830  0016829  0003824  0003674 ]
GO:0016832,  aldehyde-lyase activity  [isa: 0016830  0016829  0003824  0003674 ]
GO:0004139,  deoxyribose-phosphate aldolase activity  [isa: 0016832  0016830  0016829  0003824  0003674 ]
GO:0004332,  fructose-bisphosphate aldolase activity  [isa: 0016832  0016830  0016829  0003824  0003674 ]
GO:0008738,  L-fuculose-phosphate aldolase activity  [isa: 0016832  0016830  0016829  0003824  0003674 ]
GO:0008994,  rhamnulose-1-phosphate aldolase activity  [isa: 0016832  0016830  0016829  0003824  0003674 ]
GO:0009025,  tagatose-bisphosphate aldolase activity  [isa: 0016832  0016830  0016829  0003824  0003674 ]
GO:0043801,  hexulose-6-phosphate synthase activity  [isa: 0016832  0016830  0016829  0003824  0003674 ]
GO:0061595,  6-deoxy-6-sulfofructose-1-phosphate aldolase activity  [isa: 0016832  0016830  0016829  0003824  0003674 ]
GO:0106099,  2-keto-3-deoxy-L-rhamnonate aldolase activity  [isa: 0016832  0016830  0016829  0003824  0003674 ]
GO:0016833,  oxo-acid-lyase activity  [isa: 0016830  0016829  0003824  0003674 ]
GO:0004049,  anthranilate synthase activity  [isa: 0016833  0016830  0016829  0003824  0003674 ]
GO:0004451,  isocitrate lyase activity  [isa: 0016833  0016830  0016829  0003824  0003674 ]
GO:0008696,  4-amino-4-deoxychorismate lyase activity  [isa: 0016833  0016830  0016829  0003824  0003674 ]
GO:0008747,  N-acetylneuraminate lyase activity  [isa: 0016833  0016830  0016829  0003824  0003674 ]
GO:0008813,  chorismate lyase activity  [isa: 0016833  0016830  0016829  0003824  0003674 ]
GO:0008815,  citrate  [isa: 0016833  0016830  0016829  0003824  0003674 ]
GO:0008816,  citryl-CoA lyase activity  [isa: 0016833  0016830  0016829  0003824  0003674 ]
GO:0046421,  methylisocitrate lyase activity  [isa: 0016833  0016830  0016829  0003824  0003674 ]
GO:0016835,  carbon-oxygen lyase activity  [isa: 0016829  0003824  0003674 ]
GO:0016836,  hydro-lyase activity  [isa: 0016835  0016829  0003824  0003674 ]
GO:0003855,  3-dehydroquinate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0003861,  3-isopropylmalate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0003994,  aconitate hydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004089,  carbonate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004160,  dihydroxy-acid dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004300,  enoyl-CoA hydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004333,  fumarate hydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004424,  imidazoleglycerol-phosphate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004456,  phosphogluconate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004634,  phosphopyruvate hydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004655,  porphobilinogen synthase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004664,  prephenate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004834,  tryptophan synthase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0004852,  uroporphyrinogen-III synthase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0008659,   [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0008840,  4-hydroxy-tetrahydrodipicolinate synthase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0008867,  galactarate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0008869,  galactonate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0008872,  glucarate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0008927,  mannonate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0016153,  urocanate hydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0019171,  3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0047547,  2-methylcitrate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0047780,  citrate dehydratase activity  [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0052855,  ADP-dependent NAD [isa: 0016836  0016835  0016829  0003824  0003674 ]
GO:0003856,  3-dehydroquinate synthase activity  [isa: 0016835  0016829  0003824  0003674 ]
GO:0004107,  chorismate synthase activity  [isa: 0016835  0016829  0003824  0003674 ]
GO:0008929,  methylglyoxal synthase activity  [isa: 0016835  0016829  0003824  0003674 ]
GO:0140078,  class I DNA- [isa: 0016835  0016829  0003824  0003674 ]
GO:0016840,  carbon-nitrogen lyase activity  [isa: 0016829  0003824  0003674 ]
GO:0016841,  ammonia-lyase activity  [isa: 0016840  0016829  0003824  0003674 ]
GO:0003941,  L-serine ammonia-lyase activity  [isa: 0016841  0016840  0016829  0003824  0003674 ]
GO:0004397,  histidine ammonia-lyase activity  [isa: 0016841  0016840  0016829  0003824  0003674 ]
GO:0004794,  L-threonine ammonia-lyase activity  [isa: 0016841  0016840  0016829  0003824  0003674 ]
GO:0008721,  D-serine ammonia-lyase activity  [isa: 0016841  0016840  0016829  0003824  0003674 ]
GO:0008797,  aspartate ammonia-lyase activity  [isa: 0016841  0016840  0016829  0003824  0003674 ]
GO:0008838,  diaminopropionate ammonia-lyase activity  [isa: 0016841  0016840  0016829  0003824  0003674 ]
GO:0008851,  ethanolamine ammonia-lyase activity  [isa: 0016841  0016840  0016829  0003824  0003674 ]
GO:0016842,  amidine-lyase activity  [isa: 0016840  0016829  0003824  0003674 ]
GO:0004056,  argininosuccinate lyase activity  [isa: 0016842  0016840  0016829  0003824  0003674 ]
GO:0050385,  ureidoglycolate lyase activity  [isa: 0016842  0016840  0016829  0003824  0003674 ]
GO:0061929,  gamma-glutamylaminecyclotransferase activity  [isa: 0016842  0016840  0016829  0003824  0003674 ]
GO:0070626,   [isa: 0016842  0016840  0016829  0003824  0003674 ]
GO:0016846,  carbon-sulfur lyase activity  [isa: 0016829  0003824  0003674 ]
GO:0004121,  cystathionine beta-lyase activity  [isa: 0016846  0016829  0003824  0003674 ]
GO:0004462,  lactoylglutathione lyase activity  [isa: 0016846  0016829  0003824  0003674 ]
GO:0009000,  selenocysteine lyase activity  [isa: 0016846  0016829  0003824  0003674 ]
GO:0019148,  D-cysteine desulfhydrase activity  [isa: 0016846  0016829  0003824  0003674 ]
GO:0043768,  S-ribosylhomocysteine lyase activity  [isa: 0016846  0016829  0003824  0003674 ]
GO:0016849,  phosphorus-oxygen lyase activity  [isa: 0016829  0003824  0003674 ]
GO:0061799,  cyclic pyranopterin monophosphate synthase activity  [isa: 0016849  0016829  0003824  0003674 ]
GO:0016852,  sirohydrochlorin cobaltochelatase activity  [isa: 0016829  0003824  0003674 ]
GO:0016853,  isomerase activity  [isa: 0003824  0003674 ]
GO:0003916,  DNA topoisomerase activity  [isa: 0016853  0003824  0003674 ]
GO:0009385,  N-acylmannosamine-6-phosphate 2-epimerase activity  [isa: 0016853  0003824  0003674 ]
GO:0016854,  racemase and epimerase activity  [isa: 0016853  0003824  0003674 ]
GO:0008692,  3-hydroxybutyryl-CoA epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0003978,  UDP-glucose 4-epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0004034,  aldose 1-epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0004750,  ribulose-phosphate 3-epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0008712,  ADP-glyceromanno-heptose 6-epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0008742,  L-ribulose-phosphate 4-epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0008761,  UDP-N-acetylglucosamine 2-epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0034015,  L-ribulose-5-phosphate 3-epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0036373,  L-fucose mutarotase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0047465,  N-acylglucosamine-6-phosphate 2-epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0047938,  glucose-6-phosphate 1-epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0052856,  NADHX epimerase activity  [isa: 0016854  0016853  0003824  0003674 ]
GO:0016859,  cis-trans isomerase activity  [isa: 0016853  0003824  0003674 ]
GO:0003755,  peptidyl-prolyl cis-trans isomerase activity  [isa: 0016859  0016853  0003824  0003674 ]
GO:0016860,  intramolecular oxidoreductase activity  [isa: 0016853  0003824  0003674 ]
GO:0003949,  1- [isa: 0016860  0016853  0003824  0003674 ]
GO:0004347,  glucose-6-phosphate isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0004476,  mannose-6-phosphate isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0004640,  phosphoribosylanthranilate isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0004751,  ribose-5-phosphate isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0004807,  triose-phosphate isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0008697,  4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0008733,  L-arabinose isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0008736,  L-fucose isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0008740,  L-rhamnose isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0008880,  glucuronate isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0009045,  xylose isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0019146,  arabinose-5-phosphate isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0004165,  dodecenoyl-CoA delta-isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0004452,  isopentenyl-diphosphate delta-isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0008704,  5-carboxymethyl-2-hydroxymuconate delta-isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0034017,  trans-2-decenoyl-acyl-carrier-protein isomerase activity  [isa: 0016860  0016853  0003824  0003674 ]
GO:0016866,  intramolecular transferase activity  [isa: 0016853  0003824  0003674 ]
GO:0004106,  chorismate mutase activity  [isa: 0016866  0016853  0003824  0003674 ]
GO:0009982,  pseudouridine synthase activity  [isa: 0016866  0016853  0003824  0003674 ]
GO:0106029,  tRNA pseudouridine synthase activity  [isa: 0009982  0016866  0016853  0003824  0003674 ]
GO:0016993,  precorrin-8X methylmutase activity  [isa: 0016866  0016853  0003824  0003674 ]
GO:0004614,  phosphoglucomutase activity  [isa: 0016866  0016853  0003824  0003674 ]
GO:0004619,  phosphoglycerate mutase activity  [isa: 0016866  0016853  0003824  0003674 ]
GO:0008966,  phosphoglucosamine mutase activity  [isa: 0016866  0016853  0003824  0003674 ]
GO:0008968,  D-sedoheptulose 7-phosphate isomerase activity  [isa: 0016866  0016853  0003824  0003674 ]
GO:0008973,  phosphopentomutase activity  [isa: 0016866  0016853  0003824  0003674 ]
GO:0034023,  5- [isa: 0016866  0016853  0003824  0003674 ]
GO:0008909,  isochorismate synthase activity  [isa: 0016866  0016853  0003824  0003674 ]
GO:0016872,  intramolecular lyase activity  [isa: 0016853  0003824  0003674 ]
GO:0061593,  sulfoquinovose isomerase activity  [isa: 0016853  0003824  0003674 ]
GO:0016874,  ligase activity  [isa: 0003824  0003674 ]
GO:0004812,  aminoacyl-tRNA ligase activity  [isa: 0016874  0003824  0003674 ]
GO:0004813,  alanine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004814,  arginine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004815,  aspartate-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004816,  asparagine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004817,  cysteine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004818,  glutamate-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004819,  glutamine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004820,  glycine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004821,  histidine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004822,  isoleucine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004823,  leucine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004824,  lysine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004825,  methionine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004826,  phenylalanine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004827,  proline-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004828,  serine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004829,  threonine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004830,  tryptophan-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004831,  tyrosine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0004832,  valine-tRNA ligase activity  [isa: 0004812  0016874  0003824  0003674 ]
GO:0008641,  ubiquitin-like modifier activating enzyme activity  [isa: 0016874  0003824  0003674 ]
GO:0016405,  CoA-ligase activity  [isa: 0016874  0003824  0003674 ]
GO:0003987,  acetate-CoA ligase activity  [isa: 0016405  0016874  0003824  0003674 ]
GO:0008756,  o-succinylbenzoate-CoA ligase activity  [isa: 0016405  0016874  0003824  0003674 ]
GO:0050218,  propionate-CoA ligase activity  [isa: 0016405  0016874  0003824  0003674 ]
GO:0051108,  carnitine-CoA ligase activity  [isa: 0016405  0016874  0003824  0003674 ]
GO:0051109,  crotonobetaine-CoA ligase activity  [isa: 0016405  0016874  0003824  0003674 ]
GO:0016878,  acid-thiol ligase activity  [isa: 0016874  0003824  0003674 ]
GO:0004774,  succinate-CoA ligase activity  [isa: 0016878  0016874  0003824  0003674 ]
GO:0008771,  [citrate  [isa: 0016878  0016874  0003824  0003674 ]
GO:0015645,  fatty acid ligase activity  [isa: 0016878  0016874  0003824  0003674 ]
GO:0003883,  CTP synthase activity  [isa: 0016874  0003824  0003674 ]
GO:0004019,  adenylosuccinate synthase activity  [isa: 0016874  0003824  0003674 ]
GO:0004055,  argininosuccinate synthase activity  [isa: 0016874  0003824  0003674 ]
GO:0004516,  nicotinate phosphoribosyltransferase activity  [isa: 0016874  0003824  0003674 ]
GO:0004637,  phosphoribosylamine-glycine ligase activity  [isa: 0016874  0003824  0003674 ]
GO:0016880,  acid-ammonia  [isa: 0016874  0003824  0003674 ]
GO:0008795,  NAD+ synthase activity  [isa: 0016880  0016874  0003824  0003674 ]
GO:0016211,  ammonia ligase activity  [isa: 0016880  0016874  0003824  0003674 ]
GO:0016881,  acid-amino acid ligase activity  [isa: 0016874  0003824  0003674 ]
GO:0004326,  tetrahydrofolylpolyglutamate synthase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0004357,  glutamate-cysteine ligase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0004363,  glutathione synthase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0004592,  pantoate-beta-alanine ligase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0004639,  phosphoribosylaminoimidazolesuccinocarboxamide synthase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0008716,  D-alanine-D-alanine ligase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0008763,  UDP-N-acetylmuramate-L-alanine ligase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0008764,  UDP-N-acetylmuramoylalanine-D-glutamate ligase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0047480,  UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0070739,  protein-glutamic acid ligase activity  [isa: 0016881  0016874  0003824  0003674 ]
GO:0018169,  ribosomal S6-glutamic acid ligase activity  [isa: 0070739  0016881  0016874  0003824  0003674 ]
GO:0016882,  cyclo-ligase activity  [isa: 0016874  0003824  0003674 ]
GO:0004141,  dethiobiotin synthase activity  [isa: 0016882  0016874  0003824  0003674 ]
GO:0003922,  GMP synthase  [isa: 0016874  0003824  0003674 ]
GO:0003952,  NAD+ synthase  [isa: 0016874  0003824  0003674 ]
GO:0004066,  asparagine synthase  [isa: 0016874  0003824  0003674 ]
GO:0004088,  carbamoyl-phosphate synthase  [isa: 0016874  0003824  0003674 ]
GO:0004642,  phosphoribosylformylglycinamidine synthase activity  [isa: 0016874  0003824  0003674 ]
GO:0018271,  biotin-protein ligase activity  [isa: 0016874  0003824  0003674 ]
GO:0004077,  biotin-[acetyl-CoA-carboxylase] ligase activity  [isa: 0018271  0016874  0003824  0003674 ]
GO:0034028,  5- [isa: 0016874  0003824  0003674 ]
GO:0016421,  CoA carboxylase activity  [isa: 0016874  0003824  0003674 ]
GO:0003989,  acetyl-CoA carboxylase activity  [isa: 0016421  0016874  0003824  0003674 ]
GO:0003909,  DNA ligase activity  [isa: 0016874  0003824  0003674 ]
GO:0003911,  DNA ligase  [isa: 0003909  0016874  0003824  0003674 ]
GO:0008452,  RNA ligase activity  [isa: 0016874  0003824  0003674 ]
GO:0008664,  2'-5'-RNA ligase activity  [isa: 0008452  0016874  0003824  0003674 ]
GO:0061783,  peptidoglycan muralytic activity  [isa: 0003824  0003674 ]
GO:0004721,  phosphoprotein phosphatase activity  [isa: 0003824  0003674 ]
GO:0004725,  protein tyrosine phosphatase activity  [isa: 0004721  0003824  0003674 ]
GO:0101006,  protein histidine phosphatase activity  [isa: 0004721  0003824  0003674 ]
GO:0004175,  endopeptidase activity  [isa: 0008233  0003824  0003674 ]
GO:0004176,  ATP-dependent peptidase activity  [isa: 0008233  0003824  0003674 ]
GO:0008234,  cysteine-type peptidase activity  [isa: 0008233  0003824  0003674 ]
GO:0008237,  metallopeptidase activity  [isa: 0008233  0003824  0003674 ]
GO:0008238,  exopeptidase activity  [isa: 0008233  0003824  0003674 ]
GO:0070001,  aspartic-type peptidase activity  [isa: 0008233  0003824  0003674 ]
GO:0070003,  threonine-type peptidase activity  [isa: 0008233  0003824  0003674 ]
GO:0008770,  [acyl-carrier-protein] phosphodiesterase activity  [isa: 0003824  0003674 ]
